scene,config,samosa_mode,run,shoebox_ms,seg_ms,scene_class_ms,rir_ms,audio_ms,client_total_ms,rtt_ms,network_overhead_ms,server_total_ms,srv_seg_ms,srv_mobilenet_ms,srv_scene_ms,srv_rir_ms,srv_shoebox_ms,client_avg_mW,client_peak_mW,client_energy_mJ,client_power_backend,server_avg_mW,server_peak_mW,server_energy_mJ,server_power_backend,t60
bedroom,A,False,0,1.5589169997838326,90.59045900357887,0.02487500023562461,3.3795409981394187,2.4097080022329465,97.9635000039707,,,,,,,,,5919.9,5919.9,579.9,"macos-ioreg (battery, on-battery only)",,,,,0.2770688227122562
bedroom,A,False,1,2.38845800049603,90.66966599493753,0.07524999818997458,3.252500006055925,1.93329100147821,98.31916500115767,,,,,,,,,5919.9,5919.9,582.0,"macos-ioreg (battery, on-battery only)",,,,,0.2770688227122562
bedroom,A,False,2,9.261790997697972,98.23012500419281,0.028250004106666893,3.5763330015470274,1.956332998815924,113.0528320063604,,,,,,,,,5919.9,5919.9,669.3,"macos-ioreg (battery, on-battery only)",,,,,0.2770688227122562
bedroom,A,False,3,2.0448750001378357,90.9094169983291,0.020207997295074165,3.5865410027327016,2.0827080006711185,98.64374899916584,,,,,,,,,5919.9,5919.9,584.0,"macos-ioreg (battery, on-battery only)",,,,,0.2770688227122562
bedroom,A,False,4,2.3240000009536743,89.62695800437359,0.018707993149291724,3.0495839964714833,1.4462079998338595,96.4654579947819,,,,,,,,,5919.9,5919.9,571.1,"macos-ioreg (battery, on-battery only)",,,,,0.2770688227122562
bedroom,A,True,0,2.0179580023977906,12.954707999597304,0.056875003792811185,3.1788330015842803,1.4087919989833608,19.617166006355546,,,,,,,,,5919.9,5919.9,116.1,"macos-ioreg (battery, on-battery only)",,,,,0.27769740443066604
bedroom,A,True,1,1.7965410006581806,13.99820799997542,0.07508300041081384,3.237750002881512,1.345832999504637,20.453415003430564,,,,,,,,,5919.9,5919.9,121.1,"macos-ioreg (battery, on-battery only)",,,,,0.27769740443066604
bedroom,A,True,2,1.3362079989747144,13.822125001752283,0.06887500057928264,2.9294170017237775,1.2303749972488731,19.38700000027893,,,,,,,,,5919.9,5919.9,114.8,"macos-ioreg (battery, on-battery only)",,,,,0.27769740443066604
bedroom,A,True,3,1.4292919950094074,14.528125000651926,0.04962499951943755,2.6910829983535223,1.309540995862335,20.007665989396628,,,,,,,,,5919.9,5919.9,118.4,"macos-ioreg (battery, on-battery only)",,,,,0.27769740443066604
bedroom,A,True,4,6.710333000228275,13.498166998033412,0.043959000322502106,3.1204159968183376,1.2525830024969764,24.625457997899503,,,,,,,,,5919.9,5919.9,145.8,"macos-ioreg (battery, on-battery only)",,,,,0.27769740443066604
bedroom,B,False,0,1.104666996980086,,0.12337499356362969,6.316792001598515,3.3862089985632338,157.83295999426628,146.9019170035608,38.5140880025574,108.38782900100341,108.38782900100341,,,,,5919.9,5919.9,934.4,"macos-ioreg (battery, on-battery only)",20880.0,20880.0,2263.1,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,1,5.840833000547718,,0.05079200491309166,4.553250000753906,2.619291997689288,127.63370900211157,114.56954199820757,37.5986910003121,76.97085099789547,76.97085099789547,,,,,5919.9,5919.9,755.6,"macos-ioreg (battery, on-battery only)",22350.0,22350.0,1720.3,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,2,1.2136250006733462,,0.08741599594941363,4.615499994542915,2.9622090005432256,121.0012499941513,112.1225000024424,34.67898200324271,77.44351799919968,77.44351799919968,,,,,5919.9,5919.9,716.3,"macos-ioreg (battery, on-battery only)",23180.0,23180.0,1795.1,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,3,1.2175000010756776,,0.08354199962923303,5.07758399908198,2.631750001455657,131.0643760007224,122.05399999947986,43.79033699660795,78.26366300287191,78.26366300287191,,,,,5919.9,5919.9,775.9,"macos-ioreg (battery, on-battery only)",24180.0,24180.0,1892.4,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,4,1.1049160020775162,,0.0935829957597889,4.515082997386344,2.929290996689815,120.35303999437019,111.71016700245673,39.39722700306447,72.31293999939226,72.31293999939226,,,,,5919.9,5919.9,712.5,"macos-ioreg (battery, on-battery only)",24980.0,24980.0,1806.4,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,0,6.43741699605016,,0.05104199954075739,3.9640830000280403,2.3410409994539805,99.64829199452652,86.85470899945358,35.85760800342541,50.997100996028166,50.997100996028166,,,,,5919.9,5919.9,589.9,"macos-ioreg (battery, on-battery only)",27440.0,27440.0,1399.4,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,1,1.4959170002839528,,0.06658400525338948,3.8439170020865276,1.908625003125053,94.1229180098162,86.80787499906728,38.30451599787921,48.50335900118807,48.50335900118807,,,,,5919.9,5919.9,557.2,"macos-ioreg (battery, on-battery only)",28500.0,28500.0,1382.3,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,2,1.5043750026961789,,0.05887499719392508,3.277916999650188,1.8411659984849393,80.67441599996528,73.99208300194005,31.299921000027098,42.69216200191295,42.69216200191295,,,,,5919.9,5919.9,477.6,"macos-ioreg (battery, on-battery only)",28940.0,28940.0,1235.5,nvidia-smi (GPU),0.2770604967657764
