scene,config,samosa_mode,run,shoebox_ms,seg_ms,scene_class_ms,rir_ms,audio_ms,client_total_ms,rtt_ms,network_overhead_ms,server_total_ms,srv_seg_ms,srv_mobilenet_ms,srv_scene_ms,srv_rir_ms,srv_shoebox_ms,client_avg_mW,client_peak_mW,client_energy_mJ,client_power_backend,server_avg_mW,server_peak_mW,server_energy_mJ,server_power_backend,t60
bedroom,A,False,0,2.109916000335943,92.15091600344749,0.03629199636634439,4.031707998365164,3.1991669966373593,101.5279989951523,,,,,,,,,3235.4,3235.4,328.5,"macos-ioreg (battery, on-battery only)",,,,,0.2770688227122562
bedroom,A,False,1,11.772000005294103,92.68845799670089,0.042708001274149865,3.8679159988532774,2.0633750027627684,110.43445700488519,,,,,,,,,3235.4,3235.4,357.3,"macos-ioreg (battery, on-battery only)",,,,,0.2770688227122562
bedroom,A,False,2,2.0148339972365648,88.64845799689647,0.03795800148509443,3.6042089996044524,2.337749996513594,96.64320899173617,,,,,,,,,3235.4,3235.4,312.7,"macos-ioreg (battery, on-battery only)",,,,,0.2770688227122562
bedroom,A,False,3,1.947208002093248,89.77387499908218,0.030708994017913938,3.428625001106411,1.658957997278776,96.83937499357853,,,,,,,,,3235.4,3235.4,313.3,"macos-ioreg (battery, on-battery only)",,,,,0.2770688227122562
bedroom,A,False,4,8.551041006285232,89.34462499746587,0.030499999411404133,3.714916994795203,2.187000005505979,103.82808300346369,,,,,,,,,3235.4,3235.4,335.9,"macos-ioreg (battery, on-battery only)",,,,,0.2770688227122562
bedroom,A,True,0,1.004082994768396,18.673833001230378,0.027042005967814475,3.183957996952813,1.7799170018406585,24.66883300076006,,,,,,,,,3235.4,3235.4,79.8,"macos-ioreg (battery, on-battery only)",,,,,0.27769740443066604
bedroom,A,True,1,4.141417004575487,12.584124997374602,0.020459003280848265,2.8757499967468902,1.233000002685003,20.85475100466283,,,,,,,,,3235.4,3235.4,67.5,"macos-ioreg (battery, on-battery only)",,,,,0.27769740443066604
bedroom,A,True,2,1.834082999266684,13.312499999301508,0.02487500023562461,3.2349579996662214,1.505708998593036,19.912124997063074,,,,,,,,,3235.4,3235.4,64.4,"macos-ioreg (battery, on-battery only)",,,,,0.27769740443066604
bedroom,A,True,3,5.913875000260305,13.820082996971905,0.028875001589767635,3.217707999283448,1.472999996622093,24.45354099472752,,,,,,,,,3235.4,3235.4,79.1,"macos-ioreg (battery, on-battery only)",,,,,0.27769740443066604
bedroom,A,True,4,1.8844580044969916,14.356541003508028,0.06166700040921569,3.3219580000150017,1.356542001303751,20.981166009732988,,,,,,,,,3235.4,3235.4,67.9,"macos-ioreg (battery, on-battery only)",,,,,0.27769740443066604
bedroom,B,False,0,2.409583001281135,,0.06949999806238338,7.079457995132543,3.9875830043456517,176.66695800289745,163.12083400407573,49.997549002000596,113.12328500207514,113.12328500207514,,,,,3235.4,3235.4,571.6,"macos-ioreg (battery, on-battery only)",25020.0,25020.0,2830.3,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,1,3.5672080048243515,,0.040666003769729286,4.479207993426826,2.5947079993784428,106.33024900016608,95.64845899876673,42.54304999994929,53.10540899881744,53.10540899881744,,,,,3235.4,3235.4,344.0,"macos-ioreg (battery, on-battery only)",26570.0,26570.0,1411.0,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,2,1.8001249991357327,,0.027707996196113527,3.583208002964966,2.7202080018469132,84.73383199452655,76.60258299438283,32.49816899551661,44.10441399886622,44.10441399886622,,,,,3235.4,3235.4,274.2,"macos-ioreg (battery, on-battery only)",28460.0,28460.0,1255.2,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,3,1.3859579994459637,,0.0362089995178394,4.350333001639228,2.416833995084744,104.93958400184056,96.75025000615278,32.04324900434585,64.70700100180693,64.70700100180693,,,,,3235.4,3235.4,339.5,"macos-ioreg (battery, on-battery only)",29310.0,29310.0,1896.6,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,4,5.017625000618864,,0.04149999585933983,4.265208001015708,2.900833002058789,108.1976659988868,95.9724999993341,35.06369200113113,60.908807998202974,60.908807998202974,,,,,3235.4,3235.4,350.1,"macos-ioreg (battery, on-battery only)",31960.0,31960.0,1946.6,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,0,5.135375002282672,,0.06145799852674827,3.9013750065350905,2.361083999858238,96.79583300749073,85.33654100028798,29.946791000838857,55.38974999944912,55.38974999944912,,,,,3235.4,3235.4,313.2,"macos-ioreg (battery, on-battery only)",34870.0,34870.0,1931.4,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,1,1.235374998941552,,0.030916999094188213,3.8476250047096983,3.0197500018402934,89.15095900738379,81.01729200279806,34.282400003576186,46.73489199922187,46.73489199922187,,,,,3235.4,3235.4,288.4,"macos-ioreg (battery, on-battery only)",36080.0,36080.0,1686.2,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,2,6.065499997930601,,0.05299999611452222,4.487250000238419,2.514958003303036,117.01024999638321,103.88954199879663,42.07743499864591,61.81210700015072,61.81210700015072,,,,,3235.4,3235.4,378.6,"macos-ioreg (battery, on-battery only)",37130.0,37130.0,2295.1,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,3,4.675750002206769,,0.03612500586314127,4.191916996205691,2.493292005965486,106.17770900717005,94.78062499692896,32.42425899588852,62.35636600104044,62.35636600104044,,,,,3235.4,3235.4,343.5,"macos-ioreg (battery, on-battery only)",36580.0,36580.0,2281.0,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,4,4.732082998089027,,0.04329100192990154,4.376416000013705,2.598541999759618,114.92070699750911,103.17037499771686,31.760755999130197,71.40961899858667,71.40961899858667,,,,,3235.4,3235.4,371.8,"macos-ioreg (battery, on-battery only)",36600.0,36600.0,2613.6,nvidia-smi (GPU),0.2770604967657764
bedroom,C,False,0,1.204790998599492,,,,2.8634159971261397,102.82733199710492,98.75912500137929,40.36468699996476,58.39443800141453,55.28942200180609,,0.006708000000799075,3.0983079996076412,,3235.4,3235.4,332.7,"macos-ioreg (battery, on-battery only)",36830.0,36830.0,2150.7,nvidia-smi (GPU),0.2770614290752866
