scene,config,samosa_mode,run,shoebox_ms,seg_ms,scene_class_ms,rir_ms,audio_ms,client_total_ms,rtt_ms,network_overhead_ms,server_total_ms,srv_seg_ms,srv_mobilenet_ms,srv_scene_ms,srv_rir_ms,srv_shoebox_ms,client_avg_mW,client_peak_mW,client_energy_mJ,client_power_backend,server_avg_mW,server_peak_mW,server_energy_mJ,server_power_backend,t60
bedroom,A,False,0,1.4246249993448146,89.23895800398896,0.01416700251866132,2.544667004258372,1.1322080026729964,94.3546250127838,,,,,,,,,,,,,,,,,0.2770688227122562
bedroom,A,False,1,1.3182080001570284,86.70479200372938,0.01274999522138387,2.3835829997551627,1.2644999951589853,91.68383299402194,,,,,,,,,,,,,,,,,0.2770688227122562
bedroom,A,False,2,1.5023749947431497,88.01658300217241,0.013167002180125564,2.6595419985824265,1.5402919962070882,93.7319589938852,,,,,,,,,,,,,,,,,0.2770688227122562
bedroom,A,False,3,1.3797499996144325,90.11683400603943,0.012042000889778137,2.4136670035659336,1.1308750035823323,95.0531680136919,,,,,,,,,,,,,,,,,0.2770688227122562
bedroom,A,False,4,0.9609580010874197,89.43074999842793,0.012917000276502222,2.64837500435533,1.5226250034174882,94.57562500756467,,,,,,,,,,,,,,,,,0.2770688227122562
bedroom,A,True,0,1.3546249974751845,16.065249998064246,0.019083003280684352,3.3445000008214265,1.8237089971080422,22.607166996749584,,,,,,,,,,,,,,,,,0.27769740443066604
bedroom,A,True,1,0.8385000037378632,15.83954099623952,0.01920799695653841,3.2343330021831207,1.8222090002382174,21.75379099935526,,,,,,,,,,,,,,,,,0.27769740443066604
bedroom,A,True,2,1.2804170037270524,16.3866670045536,0.020667001081164926,3.312458000436891,1.5697919952799566,22.570001005078666,,,,,,,,,,,,,,,,,0.27769740443066604
bedroom,A,True,3,1.176040997961536,15.348916000220925,0.021332998585421592,3.40541700279573,1.953624996531289,21.9053319960949,,,,,,,,,,,,,,,,,0.27769740443066604
bedroom,A,True,4,1.2196669995319098,14.34795800014399,0.022584004909731448,3.5080829984508455,1.5212080033961684,20.619500006432645,,,,,,,,,,,,,,,,,0.27769740443066604
bedroom,B,False,0,0.7305409963009879,,0.032500000088475645,2.7593329941737466,1.6248329993686639,127.90045698784525,122.75324999791337,58.9308139969944,63.82243600091897,63.82243600091897,,,,,,,,,19980.0,19980.0,1275.2,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,1,0.7146670031943358,,0.0232499951380305,2.7429999972810037,1.4555840025423095,137.73437600320904,132.79787500505336,62.31695400492754,70.48092100012582,70.48092100012582,,,,,,,,,20430.0,20430.0,1439.9,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,2,0.749250000808388,,0.025332999939564615,2.8547910042107105,1.6713749937480316,113.1658320009592,107.8650830022525,53.88150899671018,53.98357400554232,53.98357400554232,,,,,,,,,20940.0,20940.0,1130.4,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,3,0.6920000014360994,,0.02058300015050918,2.752625005086884,1.3584999978775159,124.99420800304506,120.17049999849405,58.65726099727908,61.51323900121497,61.51323900121497,,,,,,,,,21580.0,21580.0,1327.5,nvidia-smi (GPU),0.2770604967657764
bedroom,B,False,4,0.7027089959592558,,0.022332998923957348,2.7070840005762875,2.0478329970501363,140.41004198952578,134.93008299701614,68.81344699650072,66.11663600051543,66.11663600051543,,,,,,,,,22030.0,22030.0,1456.5,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,0,0.6968329980736598,,0.020334002329036593,2.6556249940767884,1.4755830052308738,133.29029199667275,128.4419169969624,59.019001993874554,69.42291500308784,69.42291500308784,,,,,,,,,21910.0,21910.0,1521.1,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,1,0.7108749996405095,,0.01974999759113416,2.8485420043580234,1.4897919973009266,124.99679299799027,119.92783399909968,57.9304460043204,61.997387994779274,61.997387994779274,,,,,,,,,21950.0,21950.0,1360.8,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,2,0.6899580039316788,,0.027125002816319466,2.6294999988749623,1.36824999935925,132.6513329986483,127.93649999366608,58.596260991180316,69.34023900248576,69.34023900248576,,,,,,,,,21750.0,21750.0,1508.2,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,3,0.763332995120436,,0.02141699951607734,2.6578749966574833,1.4252080000005662,142.1612909907708,137.29345799947623,63.90543800080195,73.38801999867428,73.38801999867428,,,,,,,,,21940.0,21940.0,1610.1,nvidia-smi (GPU),0.2770604967657764
bedroom,B,True,4,0.6971250040805899,,0.02145900361938402,3.0017919998499565,1.5693750028731301,145.18283400684595,139.8930829964229,60.208932001842186,79.6841509945807,79.6841509945807,,,,,,,,,21730.0,21730.0,1731.5,nvidia-smi (GPU),0.2770604967657764
