scene,config,samosa_mode,run,shoebox_ms,seg_ms,scene_class_ms,rir_ms,audio_ms,client_total_ms,rtt_ms,network_overhead_ms,server_total_ms,srv_seg_ms,srv_mobilenet_ms,srv_scene_ms,srv_rir_ms,srv_shoebox_ms,client_avg_mW,client_peak_mW,client_energy_mJ,client_power_backend,server_avg_mW,server_peak_mW,server_energy_mJ,server_power_backend,t60
bedroom,A,False,0,6.0379523783922195,526.5550436452031,0.03292690962553024,8.424531668424606,5.570863373577595,546.6213179752231,,,,,,,,,5266.0,5316.0,2878.5,tegrastats (Jetson board),,,,,0.27706882271225614
bedroom,A,False,1,7.4415868148207664,544.0724501386285,0.03756675869226456,8.382805623114109,7.386262062937021,567.3206713981926,,,,,,,,,5291.2,5417.0,3001.8,tegrastats (Jetson board),,,,,0.27706882271225614
bedroom,A,False,2,6.427987944334745,513.7611259706318,0.03708573058247566,8.25090566650033,6.436595227569342,534.9137005396187,,,,,,,,,5266.0,5316.0,2816.9,tegrastats (Jetson board),,,,,0.27706882271225614
bedroom,A,False,3,7.529233116656542,553.1136794015765,0.03903824836015701,8.558288216590881,5.960994865745306,575.2012338489294,,,,,,,,,5266.2,5417.0,3029.2,tegrastats (Jetson board),,,,,0.27706882271225614
bedroom,A,False,4,7.449971977621317,529.6887001022696,0.03401516005396843,8.242778945714235,6.340311374515295,551.7557775601745,,,,,,,,,5266.0,5316.0,2905.5,tegrastats (Jetson board),,,,,0.27706882271225614
bedroom,A,True,0,7.116701919585466,320.0357458554208,0.045822933316230774,8.285978343337774,5.935396067798138,341.41964511945844,,,,,,,,,5066.0,5116.0,1729.6,tegrastats (Jetson board),,,,,0.27769740443066643
bedroom,A,True,1,6.873735226690769,306.28399597480893,0.048927031457424164,8.083871565759182,6.334904115647078,327.6254339143634,,,,,,,,,5116.0,5116.0,1676.1,tegrastats (Jetson board),,,,,0.27769740443066643
bedroom,A,True,2,7.730026729404926,313.1165481172502,0.050205737352371216,8.66686087101698,5.986146163195372,335.54978761821985,,,,,,,,,5116.0,5116.0,1716.7,tegrastats (Jetson board),,,,,0.27769740443066643
bedroom,A,True,3,7.105791009962559,304.7067020088434,0.05043111741542816,8.321624714881182,6.410292815417051,326.59484166651964,,,,,,,,,5116.0,5116.0,1670.9,tegrastats (Jetson board),,,,,0.27769740443066643
bedroom,A,True,4,7.280824705958366,314.223718829453,0.054877717047929764,8.409974165260792,6.183261051774025,336.1526564694941,,,,,,,,,5116.0,5116.0,1719.8,tegrastats (Jetson board),,,,,0.27769740443066643
bedroom,B,False,0,5.0170887261629105,,0.03471923992037773,8.682317100465298,6.364950910210609,172.99638083204627,152.89730485528708,113.76848885629443,39.12881599899265,39.12881599899265,,,,,4213.0,4213.0,728.8,tegrastats (Jetson board),36400.0,36400.0,1424.3,nvidia-smi (GPU),0.277060496765775
bedroom,B,False,1,5.584335885941982,,0.03478303551673889,8.139998186379671,6.030305288732052,179.15676534175873,159.36734294518828,125.45734094601357,33.91000199917471,33.91000199917471,,,,,4113.0,4113.0,736.9,tegrastats (Jetson board),40700.0,40700.0,1380.1,nvidia-smi (GPU),0.277060496765775
bedroom,B,False,2,5.073438864201307,,0.03692694008350372,9.098721202462912,6.134845782071352,186.89447361975908,166.55054083094,108.31467883326695,58.235861997673055,58.235861997673055,,,,,4113.0,4113.0,768.7,tegrastats (Jetson board),53150.0,53150.0,3095.2,nvidia-smi (GPU),0.277060496765775
bedroom,B,False,3,5.0737266428768635,,0.036383047699928284,8.01545800641179,6.312727928161621,176.57553404569626,157.13723842054605,121.13174841942964,36.005490001116414,36.005490001116414,,,,,4012.0,4012.0,708.4,tegrastats (Jetson board),61140.0,61140.0,2201.4,nvidia-smi (GPU),0.277060496765775
bedroom,B,False,4,5.049984436482191,,0.034973956644535065,9.125215001404285,5.896356888115406,160.2271543815732,140.12062409892678,107.74332310029422,32.37730099863256,32.37730099863256,,,,,4012.0,4012.0,642.8,tegrastats (Jetson board),65260.0,65260.0,2112.9,nvidia-smi (GPU),0.277060496765775
bedroom,B,True,0,5.09251095354557,,0.03747129812836647,7.970692124217749,5.858310963958502,161.57594928517938,142.6169639453292,87.10077394425753,55.516190001071664,55.516190001071664,,,,,4012.0,4012.0,648.2,tegrastats (Jetson board),65530.0,65530.0,3638.0,nvidia-smi (GPU),0.277060496765775
bedroom,B,True,1,4.979395307600498,,0.03420701250433922,8.772553876042366,6.149501074105501,166.3226466625929,146.38698939234018,115.8357833919581,30.55120600038208,30.55120600038208,,,,,4012.0,4012.0,667.3,tegrastats (Jetson board),63870.0,63870.0,1951.3,nvidia-smi (GPU),0.277060496765775
bedroom,B,True,2,5.566960200667381,,0.03603100776672363,8.155901916325092,6.166397128254175,157.03183598816395,137.10654573515058,103.83327573435963,33.273270000790944,33.273270000790944,,,,,4012.0,4012.0,630.0,tegrastats (Jetson board),59220.0,59220.0,1970.4,nvidia-smi (GPU),0.277060496765775
bedroom,B,True,3,5.021537654101849,,0.036191195249557495,8.862951770424843,6.350487936288118,199.30784637108445,179.03667781502008,108.40654881394585,70.63012900107424,70.63012900107424,,,,,4012.0,4012.0,799.6,tegrastats (Jetson board),54600.0,54600.0,3856.4,nvidia-smi (GPU),0.277060496765775
bedroom,B,True,4,5.043680779635906,,0.033630989491939545,8.39029485359788,6.037441082298756,157.22997765988111,137.72492995485663,97.47288195649162,40.252047998365015,40.252047998365015,,,,,4012.0,4012.0,630.8,tegrastats (Jetson board),49770.0,49770.0,2003.3,nvidia-smi (GPU),0.277060496765775
bedroom,C,False,0,5.096510984003544,,,,6.4604999497532845,224.95507076382637,213.39805983006954,156.0560858270037,57.34197400306584,53.35615000149119,,0.0097760021162685,3.9760479994583875,,4012.0,4012.0,902.5,tegrastats (Jetson board),34960.0,34960.0,2004.7,nvidia-smi (GPU),0.2770614290752866
bedroom,C,False,1,5.09251095354557,,,,6.260185968130827,204.19374387711287,192.84104695543647,132.36825295825838,60.47279399717809,57.93928099956247,,0.005865997081855312,2.5276470005337615,,4012.0,4012.0,819.2,tegrastats (Jetson board),33110.0,33110.0,2002.3,nvidia-smi (GPU),0.2770614290752866
bedroom,C,False,2,4.97920298948884,,,,6.607919931411743,201.1251081712544,189.5379852503538,122.51592825123225,67.02205699912156,64.65876199945342,,0.007345999620156363,2.3559490000479855,,4012.0,4012.0,806.9,tegrastats (Jetson board),31290.0,31290.0,2097.1,nvidia-smi (GPU),0.2770614290752866
bedroom,C,False,3,5.045856349170208,,,,6.82637607678771,188.34909377619624,176.47686135023832,128.7640433438355,47.71281800640281,45.083148001140216,,0.0074830022640526295,2.622187002998544,,4012.0,4012.0,755.7,tegrastats (Jetson board),30710.0,30710.0,1465.3,nvidia-smi (GPU),0.2770614290752866
bedroom,C,False,4,4.983169957995415,,,,6.404757034033537,191.6631329804659,180.27520598843694,121.94038998859469,58.33481599984225,55.70493999766768,,0.00585100133321248,2.624025000841357,,4012.0,4012.0,769.0,tegrastats (Jetson board),30240.0,30240.0,1764.0,nvidia-smi (GPU),0.2770614290752866
bedroom,C,True,0,5.015969276428223,,,,7.070144638419151,260.95160795375705,248.86549403890967,159.63151403775555,89.23398000115412,86.39051000136533,,0.007822000043233857,2.835647999745561,,4012.0,4012.0,1046.9,tegrastats (Jetson board),30140.0,30140.0,2689.5,nvidia-smi (GPU),0.2770614290752866
bedroom,C,True,1,5.016673356294632,,,,8.546963334083557,258.7856939062476,245.22205721586943,145.7367572147632,99.48530000110622,97.00398900167784,,0.006023001333232969,2.4752879980951548,,4012.0,4012.0,1038.2,tegrastats (Jetson board),29360.0,29360.0,2920.9,nvidia-smi (GPU),0.2770614290752866
bedroom,C,True,2,4.995298106223345,,,,6.478643976151943,269.32821003720164,257.85426795482635,149.22038695658557,108.63388099824078,105.98492999997688,,0.006733000191161409,2.642217998072738,,3962.0,4012.0,1067.1,tegrastats (Jetson board),27300.0,27300.0,2965.7,nvidia-smi (GPU),0.2770614290752866
bedroom,C,True,3,5.0612809136509895,,,,6.528209894895554,251.05973472818732,239.47024391964078,142.99528891933733,96.47495500030345,94.15122299833456,,0.00642500162939541,2.317307000339497,,4012.0,4012.0,1007.3,tegrastats (Jetson board),25070.0,25070.0,2418.6,nvidia-smi (GPU),0.2770614290752866
